Time,Estado Bomba (DI2)
01/06/26 00:00:00,0
01/06/26 07:47:12,1
01/06/26 14:29:59,0
04/06/26 06:17:48,1
04/06/26 09:36:35,0
06/06/26 10:56:45,1
06/06/26 17:52:02,0
09/06/26 05:17:24,1
09/06/26 11:14:44,0
12/06/26 13:39:57,1
12/06/26 19:16:57,0
15/06/26 08:16:11,1
15/06/26 13:52:41,0
18/06/26 09:01:44,1
18/06/26 11:59:07,0
20/06/26 11:20:41,1
20/06/26 17:13:34,0
22/06/26 12:13:43,1
22/06/26 15:36:55,0
24/06/26 12:52:36,1
24/06/26 17:43:19,0
26/06/26 09:06:18,1
26/06/26 16:32:55,0
29/06/26 05:40:37,1
29/06/26 12:55:36,0
