Time,Estado Bomba (DI2)
01/06/26 00:00:00,0
01/06/26 12:26:56,1
01/06/26 18:18:45,0
04/06/26 07:14:10,1
04/06/26 13:55:22,0
07/06/26 13:28:24,1
07/06/26 16:44:27,0
09/06/26 07:08:00,1
09/06/26 11:05:25,0
11/06/26 11:24:48,1
11/06/26 18:14:39,0
14/06/26 10:06:18,1
14/06/26 16:16:26,0
16/06/26 07:32:56,1
16/06/26 11:36:21,0
18/06/26 05:02:15,1
18/06/26 06:42:49,0
20/06/26 12:17:18,1
20/06/26 14:17:07,0
23/06/26 06:27:04,1
23/06/26 11:14:27,0
25/06/26 06:57:43,1
25/06/26 12:31:07,0
27/06/26 07:21:40,1
27/06/26 12:36:19,0
30/06/26 10:24:02,1
30/06/26 13:58:35,0
